NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
4,16757,7844,8913,0500000US04003
5,16152,7805,8347,0500000US04003
6,9205,4449,4756,0500000US04003
7,2969,1308,1661,0500000US04003
0,142854,70580,72274,0500000US04005
1,38493,19127,19366,0500000US04005
2,55679,27908,27771,0500000US04005
3,14435,7247,7188,0500000US04005
4,16392,7783,8609,0500000US04005
5,11394,5644,5750,0500000US04005
6,4827,2218,2609,0500000US04005
7,1634,653,981,0500000US04005
0,53889,26644,27245,0500000US04007
1,11828,6072,5756,0500000US04007
2,12425,6270,6155,0500000US04007
3,5613,2723,2890,0500000US04007
4,8517,4079,4438,0500000US04007
5,8961,4400,4561,0500000US04007
6,4955,2443,2512,0500000US04007
7,1590,657,933,0500000US04007
0,38072,20283,17789,0500000US04009
1,11533,5925,5608,0500000US04009
2,13235,7706,5529,0500000US04009
3,4042,2237,1805,0500000US04009
4,3952,1982,1970,0500000US04009
5,3018,1432,1586,0500000US04009
6,1667,752,915,0500000US04009
7,625,249,376,0500000US04009
0,9483,4871,4612,0500000US04011
